,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-05-05 17:30:00,0.0,13.8,483.0,0.6137920755534516,0.1484757034552203,0.7740014589424782,0.5258215430508427,-0.08731814305679722,47.1486715942877,32.030672505939364,-5.3190267326278065,0.373,0.191,0.127,0.23033333333333336
2021-05-05 18:00:00,0.0,13.0,331.9,0.6312601788636036,0.1763558271872259,0.7521417228358651,0.5039552954808592,-0.10920448843204718,45.817075242729544,30.698679505454383,-6.652244000598753,0.368,0.191,0.125,0.22799999999999998
2021-05-05 18:30:00,0.0,13.0,331.9,0.6304859146466435,0.1781956418748926,0.7740014589424782,0.5258215430508427,-0.08731814305679722,47.1486715942877,32.030672505939364,-5.3190267326278065,0.368,0.191,0.125,0.22799999999999998
2021-05-05 19:00:00,0.0,12.9,285.2,0.6314283396537106,0.1784839800242039,0.6205085739048649,0.3722811918107869,-0.2410039207271668,37.79857858724594,22.677688072318322,-14.680869887281961,0.364,0.195,0.124,0.22766666666666666
2021-05-05 19:30:00,0.0,12.9,285.2,0.6360807613083228,0.1888176566326353,0.5543843959408087,0.3061353120951989,-0.3072155430000956,33.77059244426217,18.64837995668945,-18.714182742449783,0.364,0.195,0.124,0.22766666666666666
2021-05-05 20:00:00,0.0,10.7,117.0,0.6385399867903466,0.1824629861220522,0.46589652881658683,0.21761722321327948,-0.3958245217757535,28.380311406782937,13.256257946286688,-24.111841354497937,0.361,0.196,0.125,0.2273333333333333
2021-05-05 20:30:00,0.0,10.7,117.0,0.641085997757127,0.1882814067583645,0.35476374503171254,0.10644457062757949,-0.5071160445457163,21.610604366190103,6.484122278492612,-30.89121805680869,0.361,0.196,0.125,0.2273333333333333
2021-05-05 21:00:00,0.0,9.1,20.0,0.6417616193859583,0.1719739495236306,0.3101465002079241,0.06181072043379106,-0.5517990963978112,18.892723412176203,3.765229800368794,-33.61310767764145,0.36,0.197,0.125,0.2273333333333333
2021-05-05 21:30:00,0.0,9.1,20.0,0.6432578549094057,0.1662572689211706,0.13072825128773005,-0.11767776564262858,-0.7314939794792601,7.963374379787532,-7.168397762214278,-44.559308013177,0.36,0.197,0.125,0.2273333333333333
2021-05-05 22:00:00,0.0,7.3,0.5,0.6445203376342188,0.1602687806186443,0.265434787091602,0.017082022660209587,-0.5965779491669265,16.169087876631114,1.0405596362477365,-36.34083305746775,0.36,0.197,0.126,0.22766666666666666
